Business License Number,Business Name,DBA,Business Status,Business License Type,Business License Classification,Business License Status,Business License Year,Business License Issued Date,Business License Expiration Date
STR-025604-2025,"LRJLBL SAVANNAH, LLC",28 MOON RIVER DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/6/2026,6/30/2027
STR-025732-2025,"LUKA HOMES, LLC.",24 NILSSON DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025429-2025,"LUKA HOMES, LLC.",514 SANDHILL RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/21/2026,6/30/2027
STR-026363-2026,"LVM TEAMS, LLC.",23 SAPELO RD.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/21/2026,6/30/2027
STR-025810-2025,LYNDA & ROBERT LUM,1316 1/2 WALTHOUR ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025109,MALANKA HOMES LLC,126 HUNT CLUB CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-024902,MANISHA PRAJAPATI,1014 DEBBIE STREET,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/5/2026,6/30/2027
STR-024899,MARIA G SMITH,2623 BISMARK AVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/15/2026,6/30/2027
STR-025696-2025,MARISA DIPALO,130 N. SHEFTALL CIRCLE ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025680-2025,MARK STEPHENS OR ELISSA GREENE,210 CHRISTIE ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/18/2026,6/30/2027
STR-026490-2026,"MARSH CREEK INVESTMENTS, LLC.",111 MARSH SIDE DR.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,7/2/2026,6/30/2027
STR-025636-2025,MARSHFRONT SAVANNAH HOME SHIPYARD RD,258 SHIPYARD ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-026417-2026,MARY ELIZABETH CARLEY,119 RUNNER ROAD (LOWER LEVEL),Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/22/2026,6/30/2027
STR-026482-2026,MARYANN TIEDEMANN,213 E. POINT DR.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,7/6/2026,6/30/2027
STR-025719-2025,MASON HOYT,113 DRY DOCK CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025741-2025,MATTHEW BEATTY,132 VICKERY LN,Closed,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-026352-2026,MATTHEW MYLES,180 BERWICK LAKES BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/21/2026,6/30/2027
STR-025704-2025,MATTHEW PIERINGER,142 W TISBURY LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025801-2025,MAX'S PLACE-YOUR 2ND HOME,2 AMELIA COURT ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025655-2025,MEIZHU WANG,1012 WILMA ST,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025684-2025,MELISSA MCCANDLESS,4 BLOCKADE COURT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/22/2026,6/30/2027
STR-025646-2025,"MEMORYSMITH PROPERTIES, LLC",110 CROSSOVER LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,,6/30/2027
STR-025607-2025,MID-SOUTH INVESTMENT #100 LLC,11 OSSABAW RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025584-2025,MONA KOUSSA AND ABDEL RASHYDI,128 REDAN DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-025420-2025,MONTY WAYNE NEELY,7220 JOHNNY MERCER BLVD UNIT A,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/3/2026,6/30/2027
STR-026539-2026,MORGAN ESTATES LLC,320 MAPMAKER LANE,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,7/22/2026,6/30/2027
STR-026540-2026,MORGAN ESTATES LLC,140 ROPEMAKER LANE,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,8/3/2026,6/30/2027
STR-026411-2026,"MOSSY TIDES RETREAT, LLC.",303 MAPMAKER LN.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/17/2026,6/30/2027
STR-025665-2025,MUSICMANZ VENTURES LLC,25 LEEWARD DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-025805-2025,MW PROPERTIES ,27 STALWICK DR ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025570-2025,NANCY TAMARACK,306 PARKERSBURG RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-025717-2025,NANCY TRUONG,302 WENDY HILL ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025059,NATHANIEL HAYWARD,1512 WALTHOUR RD #B,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-026305-2026,NESTPULSE GROUP LLC,117 BLAINE CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/14/2026,6/30/2027
STR-025331-2025,NICHOLAS CHARLEAS SPRINGER & ISHELL WINZER VOYT,4 CUTTY SARK ROAD,Active,Short Term Rental,STR - Short Term Rental,Issued,2027,7/6/2026,6/30/2027
STR-025004,NORMAN WITMER,8 SAPELO ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-026504-2026,"NORTH42, LLC.",1 DEER CREEK DR.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,6/24/2026,6/30/2027
STR-025686-2025,OATLAND ISLAND COASTAL COTTAGE 2,112 OATLAND RD UNIT C,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025687-2025,OATLAND ISLAND COTTAGE 1,112 OATLAND ISLAND RD UNIT A ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-024788,OFFSHORE ROW LLC,109 PICKET ROW,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/22/2026,6/30/2027
STR-026495-2026,"OG DREAM GETAWAYS, LLC",136 CROSSOVER LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/23/2026,6/30/2027
STR-025781-2025,OSCAR RAMON TELLEZ & LUCIA BARCENAS,106 REDAN DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-025782-2025,OSCAR TELLEZ,20 BLUELAKE BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-026129-2025,PAMELA BERGER,7416 HEMLOCK AVE - MAIN HOUSE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/17/2026,6/30/2027
STR-026116-2025,PAMELA BERGER,7416 HEMLOCK AVE (CARRIAGE HOUSE),Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/17/2026,6/30/2027
STR-025619-2025,PATRICIA CYR RENTAL,101 BLOCKADE CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-026032-2025,PATRICIA MARTIN,29 PINEY POINT RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/23/2026,6/30/2027
STR-025498-2025,PATRICK C & NANELLE G FITZGERALD,336 A ISLAND ROAD (GARAGE APT ONLY),Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/18/2026,6/30/2027
STR-026007-2025,PATRICK FORELLI,9240 GARLAND DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025843-2025,PATRICK FORELLI,108 BACKSHELL RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025832-2025,PATRICK FORELLI,8611 WHITEFIELD AVENUE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-026403-2026,PETER KRUEGER,108 RUNNER RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/21/2026,6/30/2027
STR-026302-2026,PEYTON HARM,111 RUNNER RD.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/21/2026,6/30/2027
STR-025440-2025,PEYTON HARM,134 BACKSHELL RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/21/2026,6/30/2027
STR-026473-2026,"PFD HONDA, LLC.",33 PENROSE DR.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/20/2026,6/30/2027
STR-026480-2026,"PFD HONDA, LLC.",29 PENROSE DR.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/20/2026,6/30/2027
STR-025733-2025,PURPLE DOOR GETAWAY LLC,302 SANDY SPRINGS RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-025724-2025,"QUALITY COASTAL HOMES, LLC ",113 FINN CIRCLE ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025845-2025,RAQUEL ORTEGA,40 REESE WAY,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025313-2025,RAYMOND CASPER,6 EARL CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/23/2026,6/30/2027
STR-025734-2025,RAYMOND ROME OUTLER JR ,113 LARCHMONT DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025927-2025,"REMY INVESTING, LLC.",6 SILVER LEAF CT.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-026505-2026,RICK TANIGUCHI,3 CLAYTON CT.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,6/24/2026,6/30/2027
STR-025594-2025,"RIVER OF DREAMS, LLC.",529 POINTE SOUTH DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025308-2025,RLB PROPERTY GROUP LLC,107 BACK SHELL RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/21/2026,6/30/2027
STR-025850-2025,RLB PROPERTY GROUP LLC,208 BLUE HERON DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025609-2025,RNOCHONG LIU,1023 BRITTLEWOOD DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-025483-2025,ROBERT CAUFIELD,5502 JASMINE AVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/3/2026,6/30/2027
STR-026034-2025,RONALD HORNING JR,9300 MELODY DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/13/2026,6/30/2027
STR-026448-2026,"RUNAWAY POINT, LLC.",211 RUNAWAY POINT RD.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/17/2026,6/30/2027
STR-026102-2025,"RUNAWAY TO SAVANNAH, LLC.",107 RUNAWAY POINT RD.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-026514-2026,RUSSELL MICHAEL STRAZZELLA & ELIZABETH ANNE KORSEDAL,1338 PINE RIDGE DR ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/13/2026,6/30/2027
STR-026175-2025,RYAN WESLEY COLEMAN,1 CEDAR COVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-026123-2025,RYNAH RODRIGUES,9 CROSS BOW CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025752-2025,SAI C KUMAR STVR,522 POINTE SOUTH DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-026410-2026,"SALT AND MAGNOLEA STAYS, LLC.",200 EAST POINT DR.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/22/2026,6/30/2027
STR-025436-2025,"SALT LIFE AT 912, LLC.",127 TEAKWOOD DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/24/2026,6/30/2027
STR-025768-2025,SAM FINNEY,87 JOHNNY MERCER BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/13/2026,6/30/2027
STR-026306-2026,"SAMMIEZ PROPERTIES, LLC.",157 W. TAHOE DR.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/13/2026,6/30/2027
STR-025705-2025,"SANA  DALA, LLC",7 ROPEMAKER COURT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025802-2025,SARAH ARKINS,557 SUNCREST BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-026518-2026,SARAH BROOKE SANDIN,9 ROSE AVE,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,8/3/2026,6/30/2027
STR-025613-2025,"SAVANNAH COASTAL STAYS, LLC.",101 EAST POINT DR.,On Hold,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/18/2026,6/30/2027
STR-025488-2025,"SAVANNAH HOLDINGS & INVESTMENTS, LLC.",102 NEVA AVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/4/2026,6/30/2027
STR-025739-2025,SAVANNAH ISLAND COTTAGE LLC ,36 MAPMAKER LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-025807-2025,"SAVANNAH MARSHES STUDIO, LLC",16 SHAD RIVER RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/13/2026,6/30/2027
STR-025631-2025,SAVASKA LLC,132 HOLIDAY DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025693-2025,SAVVY PLACES,1402 WALTHOUR RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025764-2025,SCENIC SAVANNAH VACATION RENTAL LLC,10 EAST STREET,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025667-2025,SCOTT REALTY PROFESIONALS LLC,108 TRELLIS WAY,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/23/2026,6/30/2027
STR-025666-2025,SCOTT REALTY PROFESIONALS LLC,110 TRELLIS WAY,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/22/2026,6/30/2027
STR-024857,SCOTT THOMSON/ KEVIN ESCOBAR,8521 LABERTA BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-024927,SETH DAVID WARWICK,8 CALIBOGUE ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-025711-2025,SHAWN FARLEY-BLACK,923 BETZ CREEK RD ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/3/2026,6/30/2027
STR-025763-2025,SHEILA NAYDECK,312 MAPMAKER LN,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025822-2025,SHERRY L. JAKUBOWSKI,1318 WALTHOUR RD - GUEST HOUSE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025814-2025,"SMACKO, INC/ RED GATE FARMS (HAYLOFT)",136 RED GATE FARMS TRAIL,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-026491-2026,"SMASH PROPERTY MANAGEMENT, LLC.",152 PENN STATION,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-025664-2025,SOUTHSIDE SANCTUARY,104 SHAMROCK CIRCLE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025728-2025,SPICE CITY PROPERTIES,"569 MENDEL AVENUE, APT A",Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-025729-2025,SPICE CITY PROPERTIES,569 MENDEL AVENUE APT B,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/20/2026,6/30/2027
STR-025767-2025,SPRINGTIDE SUITES ,9152 FERGUSON AVENUE (GARAGE APT),Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-026083-2025,STACIE SALMON,217 CHERRY LAURAL LN,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/24/2026,6/30/2027
STR-025921-2025,STAY HERE,100 BLUE HERON DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,,6/30/2027
STR-025859-2025,STEPHANIE OSBORNE,7 CHADWICK CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025761-2025,STEVEN P SCHULTE,612 SUNCREST BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-026571-2026,STEVEN S. & LORI K. HESS,917 BOB WHITE RD.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,8/4/2026,6/30/2027
STR-025695-2025,STEVEN SCOTT,1012 JUANITA STREET  (GARAGE APARTMENT),Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025740-2025,SUNSET CREEK BNB,217 HILLARY RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-026165-2025,SYLVIA LEON,7339 LEGHORN ST,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025715-2025,TALAHI INVESTMENTS LLC,505 QUARTERMAN DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/17/2026,6/30/2027
STR-025637-2025,THE  JOHN C & KELLIE M JOHNSON LIVING TRUST,5808 LAROCHE AVENUE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-025777-2025,THE COTTAGE ON GOLDEN ISLE,7209 GOLDEN ISLE WAY (GUEST HOUSE),Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025749-2025,"THE DOCK HOUSE GA, LLC",5000 TAYLOR RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/29/2026,6/30/2027
STR-025066,THE NICKEL HOUSE LLC,633 SUNCREST BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/6/2026,6/30/2027
STR-024907,THE WOODSMEN LLC,406 SUNCREST BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025184-2025,"THREE DIAMONDS, LLC.",1707 KINGS WAY CT.,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/29/2026,6/30/2027
STR-025573-2025,THU DUNG DANG,118 BINNACLE CT ,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025576-2025,THU DUNG DANG,105 BINNACLE COURT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025622-2025,THUY CHAU NU ,105 BOWSPIRIT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025860-2025,TIMOTHY & AMY FLYNN ,109 MAPMAKER COVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/5/2026,6/30/2027
STR-026235-2026,TISBURY PROPERTIES LLC,134 W TISBURY LN,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/21/2026,6/30/2027
STR-026508-2026,"TRAPHONER-LIU'S REAL ESTATE, LLC.",1333 HALCYON DR.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,6/23/2026,6/30/2027
STR-026545-2026,TROY BELDEN BRAY,132 WIMBLEDON DR.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,8/7/2026,6/30/2027
STR-025660-2025,TYLER & JENNIFER BROWN,31 RIVERS BEND DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025029,"VENTURE ON TYBEE, LLC.",2552 CRUSOE ISLAND DR.,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025839-2025,VERITY GROUP LEASING LLC,301 MAPMAKER LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025838-2025,VERITY GROUP LEASING LLC,140 CROSSOVER LN,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/14/2026,6/30/2027
STR-025967-2025,VERNON OAKS LLC,9219 WHITEFIELD AVENUE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-025831-2025,VINAYKUMAR PATEL,6101 LAROCHE AVENUE,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/5/2026,6/30/2027
STR-025203-2025,WAI CHIK NG (JADE),112 LAURENS LN,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/23/2026,6/30/2027
STR-024841,WALTHOUR INVESTMENT LLC,2324 EAST BLVD.,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/22/2026,6/30/2027
STR-025745-2025,WENDY MOYNIHAN,1119 HALCYON DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025746-2025,WENDY MOYNIHAN,1125 HALCYON,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025742-2025,WENDY MOYNIHAN,12 QUEENS CT,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-026341-2026,WICKED WEATHER VENTURES,1507 WALTHOUR RD.,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,8/4/2026,6/30/2027
STR-025003,WICKED WEATHER VENTURES,6715 SAND RD,Applied,Short Term Rental,STR - Short Term Rental,Renewed,2026,8/4/2026,6/30/2027
STR-025276-2025,WILLIAM H. TUTEN JR.,1A CARDINAL RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/17/2026,6/30/2027
STR-025275-2025,WILLIAM H. TUTEN JR.,1B CARDINAL RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,7/17/2026,6/30/2027
STR-025747-2025,WILLIAM M. SIMON,41 PENROSE DRIVE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/23/2026,6/30/2027
STR-025669-2025,WILLIAM RICHARDS,109 BLUELAKE BLVD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-025661-2025,WILLIAM SCHILDKNECHT & KAYLA HALL-FRANK,906 REITA STREET,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-025722-2025,WILMINGTON ISL HISTORIC SAVANNAH & TYBEE ISLAND,7216 JOHNNY MERCER BLVD UNIT 1,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-024875,WILMINGTON ISL HISTORIC SAVANNAH & TYBEE ISLAND,7216 JOHNNY MERCER BLVD UNIT 2,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
STR-025743-2025,WILMINGTON RIVER HOME LLC,730 WILMINGTON ISLAND RD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,6/30/2026,6/30/2027
STR-026446-2026,WOODLANDS MANOR,5528 SILK HOPE ROAD,Active,Short Term Rental,STR - Short Term Rental,Renewed,2027,6/24/2026,6/30/2027
STR-024858,YANJO INC,223 STONEBRIDGE DR,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/21/2026,6/30/2027
STR-026181-2025,YELLOW DOOR PROPERTIES LLC,313 MAPMAKER LANE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/17/2026,6/30/2027
STR-026522-2026,YIFTACH GOLAN,101 MARSH BLUFF DR.,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,7/10/2026,6/30/2027
STR-026572-2026,YIFTACH GOLAN,109 STONEBRIDGE LN,Active,Short Term Rental,STR - Short Term Rental,Issued,2026,8/4/2026,6/30/2027
STR-025627-2025,"ZDS PROPERTY MANAGEMENT, LLC",518 POINTE SOUTH CIRCLE,Active,Short Term Rental,STR - Short Term Rental,Renewed,2026,7/22/2026,6/30/2027
